threshold:  0.108193773 ,cutoff:  0.565433101357 ,fpr:  0.0060396893874 ,tpr:  0.434599156118
threshold:  0.107945402 ,cutoff:  0.561213934598 ,fpr:  0.0060396893874 ,tpr:  0.438818565401
threshold:  0.107790416 ,cutoff:  0.561215818213 ,fpr:  0.00621225194133 ,tpr:  0.438818565401
threshold:  0.107763387 ,cutoff:  0.556996669396 ,fpr:  0.00621225194133 ,tpr:  0.443037974684
threshold:  0.107744231 ,cutoff:  0.556998620735 ,fpr:  0.00638481449525 ,tpr:  0.443037974684
threshold:  0.107622267 ,cutoff:  0.557000625528 ,fpr:  0.00655737704918 ,tpr:  0.443037974684
threshold:  0.107620154 ,cutoff:  0.552781510883 ,fpr:  0.00655737704918 ,tpr:  0.447257383966
threshold:  0.10718521 ,cutoff:  0.54856240077 ,fpr:  0.00655737704918 ,tpr:  0.451476793249
threshold:  0.106956354 ,cutoff:  0.544343295295 ,fpr:  0.00655737704918 ,tpr:  0.455696202532
threshold:  0.106674497 ,cutoff:  0.5443454014 ,fpr:  0.00672993960311 ,tpr:  0.455696202532
threshold:  0.106636566 ,cutoff:  0.540126317123 ,fpr:  0.00672993960311 ,tpr:  0.459915611814
threshold:  0.106509596 ,cutoff:  0.540128494803 ,fpr:  0.00690250215703 ,tpr:  0.459915611814
threshold:  0.105761475 ,cutoff:  0.540130727604 ,fpr:  0.00707506471096 ,tpr:  0.459915611814
threshold:  0.105704849 ,cutoff:  0.535911683167 ,fpr:  0.00707506471096 ,tpr:  0.464135021097
threshold:  0.105704352 ,cutoff:  0.531692644521 ,fpr:  0.00707506471096 ,tpr:  0.46835443038
threshold:  0.105293887 ,cutoff:  0.527473611804 ,fpr:  0.00707506471096 ,tpr:  0.472573839662
threshold:  0.105275532 ,cutoff:  0.523254585159 ,fpr:  0.00707506471096 ,tpr:  0.476793248945
threshold:  0.105214395 ,cutoff:  0.519035564736 ,fpr:  0.00707506471096 ,tpr:  0.481012658228
threshold:  0.104848808 ,cutoff:  0.519037945646 ,fpr:  0.00724762726488 ,tpr:  0.481012658228
threshold:  0.104632469 ,cutoff:  0.514818951108 ,fpr:  0.00724762726488 ,tpr:  0.485232067511
threshold:  0.104459257 ,cutoff:  0.514821409361 ,fpr:  0.00742018981881 ,tpr:  0.485232067511
threshold:  0.104324006 ,cutoff:  0.510602441989 ,fpr:  0.00742018981881 ,tpr:  0.489451476793
threshold:  0.103910649 ,cutoff:  0.510604978861 ,fpr:  0.00759275237274 ,tpr:  0.489451476793
threshold:  0.103718933 ,cutoff:  0.510607574038 ,fpr:  0.00776531492666 ,tpr:  0.489451476793
threshold:  0.103428184 ,cutoff:  0.510610227519 ,fpr:  0.00793787748059 ,tpr:  0.489451476793
threshold:  0.103393569 ,cutoff:  0.510612939305 ,fpr:  0.00811044003451 ,tpr:  0.489451476793
threshold:  0.102774207 ,cutoff:  0.506394066755 ,fpr:  0.00811044003451 ,tpr:  0.493670886076
threshold:  0.102703209 ,cutoff:  0.506396859922 ,fpr:  0.00828300258844 ,tpr:  0.493670886076
threshold:  0.102688397 ,cutoff:  0.506399711877 ,fpr:  0.00845556514236 ,tpr:  0.493670886076
threshold:  0.102432222 ,cutoff:  0.506402622618 ,fpr:  0.00862812769629 ,tpr:  0.493670886076
threshold:  0.10226475 ,cutoff:  0.502183830965 ,fpr:  0.00862812769629 ,tpr:  0.497890295359
threshold:  0.102258326 ,cutoff:  0.497965049777 ,fpr:  0.00862812769629 ,tpr:  0.502109704641
threshold:  0.102059006 ,cutoff:  0.49796806962 ,fpr:  0.00880069025022 ,tpr:  0.502109704641
threshold:  0.102054103 ,cutoff:  0.49374932497 ,fpr:  0.00880069025022 ,tpr:  0.506329113924
threshold:  0.10204496 ,cutoff:  0.493752430905 ,fpr:  0.00897325280414 ,tpr:  0.506329113924
threshold:  0.102007307 ,cutoff:  0.49375559713 ,fpr:  0.00914581535807 ,tpr:  0.506329113924
threshold:  0.10188918 ,cutoff:  0.493758823644 ,fpr:  0.00931837791199 ,tpr:  0.506329113924
threshold:  0.101885263 ,cutoff:  0.493762110444 ,fpr:  0.00949094046592 ,tpr:  0.506329113924
threshold:  0.101741244 ,cutoff:  0.489543487431 ,fpr:  0.00949094046592 ,tpr:  0.510548523207
threshold:  0.101551492 ,cutoff:  0.485324878088 ,fpr:  0.00949094046592 ,tpr:  0.514767932489
threshold:  0.101274278 ,cutoff:  0.481106282776 ,fpr:  0.00949094046592 ,tpr:  0.518987341772
